Pattern,Explanation,Example Sentence,Example Translation,Additional Notes,Pitfalls
名詞＋に対して,表示「對照、對應、針對」兩者性質的差異。<br><br>🧠 文法解析：<br><ul><li><div><b> 活発[かっぱつ]な 兄[あに]に</b></div><ul><li><div><b> 活発[かっぱつ]</b>：な形容詞，「活發」。</div></li><li><div><b> 兄[あに]</b>：名詞，「哥哥」。</div></li></ul></li><li><div><b> 對[たい]して、</b></div><ul><li><div><b> 對[たい]して</b>：與助詞「に」連用，表示對比或對象。</div></li></ul></li><li><div><b> 弟[おとうと]は</b></div><ul><li><div><b> 弟[おとうと]</b>：名詞，「弟弟」。</div></li><li><div><b>は</b>：提示助詞，設定話題。</div></li></ul></li><li><div><b> おとなしい 性格[せいかく]です。</b></div><ul><li><div><b> おとなしい</b>：い形容詞，「溫順的、文靜的」。</div></li><li><div><b> 性格[せいかく]</b>：名詞，「性格」。</div></li><li><div><b>です</b>：禮貌體結尾。</div></li></ul></ul>,活発[かっぱつ]な兄[あに]に対して、弟[おとうと]は おとなしい性格[せいかく]です。,相對於活潑的哥哥，弟弟的個性很溫順。<br><br>🧾 單字速記：<br><ul><li><b> 活発[かっぱつ]</b>：活潑</li><li><b> 兄[あに]</b>：哥哥</li><li><b> 弟[おとうと]</b>：弟弟</li><li><b> おとなしい</b>：溫順的</li><li><b> 性格[せいかく]</b>：性格</li></ul>,常用於描寫性格、立場等對比。<br><br>📝 語感補充：<br><ul><li><b>相似文法對比</b><ul><li><b>Aに 對[たい]してB</b>：強調A與B之間的對稱或對比。</li><li><b>Aに 比[くら]べてB</b>：強調兩者之間程度的比較。</li></ul></li><li><b>使用場景</b>：常用於描述兩個人、兩件事物之間截然不同的特點。</li></ul>,❌ 誤用助詞：× にたいしで
句子＋のに対して,用來對比前後兩個完整句子。<br><br>🧠 文法解析：<br><ul><li><div><b> 姉[あね]は</b></div><ul><li><div><b> 姉[あね]</b>：名詞，「姊姊」。</div></li><li><div><b> 背[せ]が 高[たか]い</b></div><ul><li><div><b> 背[せ]</b>：名詞，「個子、身高」。</div></li><li><div><b> 高[たか]い</b>：い形容詞，「高的」。</div></li></ul></li><li><div><b> のに 對[たい]して、</b></div><ul><li><div><b>の</b>：形式名詞，將前面的句子名詞化。</div></li><li><div><b>に 對[たい]して</b>：表示對比。</div></li></ul></li><li><div><b> 妹[いもうと]は</b></div><ul><li><div><b> 妹[いもうと]</b>：名詞，「妹妹」。</div></li></ul></li><li><div><b> 背[せ]が 低[ひく]いです。</b></div><ul><li><div><b> 低[ひく]い</b>：い形容詞，「矮的、低的」。</div></li></ul></li></ul>,姉[あね]は 背[せ]が 高[たか]い のに対して、妹[いもうと]は 背[せ]が 低[ひく]いです。,相對於姊姊個子高，妹妹矮矮的。<br><br>🧾 單字速記：<br><ul><li><b> 姉[あね]</b>：姊姊</li><li><b> 妹[いもうと]</b>：妹妹</li><li><b> 背[せ]</b>：身高</li><li><b> 高[たか]い</b>：高</li><li><b> 低[ひく]い</b>：矮</li></ul>,「のに対して」前面接完整句子時需使用「の」轉換。<br><br>📝 語感補充：<br><ul><li><b>文法結構</b>：當對比的是兩個「狀態」或「動作」時，需要使用形式名詞「の」來衔接。</li><li><b>使用場景</b>：常用於對比家族成員、國家特徵、季節差異等。</li></ul>,❌ 遺漏「の」：× 背が高いに対して（語法錯）
句子＋のに対して,對照不同立場、意見。<br><br>🧠 文法解析：<br><ul><li><div><b> 夫[おっと]廣</b></div><ul><li><div><b> 夫[おっと]</b>：名詞，「丈夫」。</div></li><li><div><b>が</b>：格助詞，標示句子中的主體。</div></li></ul></li><li><div><b> 自民党[じみんとう]を</b></div><ul><li><div><b> 自民党[じみんとう]</b>：名詞，「自民黨」。</div></li></ul></li><li><div><b> 支持[しじ]している</b></div><ul><li><div><b> 支持[しじ]する</b>：動詞，「支持」。</div></li><li><div><b>〜ている</b>：表示狀態的持續。</div></li></ul></li><li><div><b> のに 對[たい]して、</b></div><ul><li><div><b>の</b>：名詞化。</div></li><li><div><b>に 對[たい]して</b>：表示對照。</div></li></ul></li><li><div><b> 妻[つま]は</b></div><ul><li><div><b> 妻[つま]</b>：名詞，「妻子」。</div></li></ul></li><li><div><b> 民主党[み民主党]を</b></div><ul><li><div><b> 民主党[みんしゅとう]</b>：名詞，「民主黨」。</div></li></ul></li><li><div><b> 支持[しじ]している。</b></div><ul><li><div><b> 支持[しじ]している</b>：持續支持著。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  支持[しじ]する」為例 → <b>サ變動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 支持[しじ]する</td><td>支持</td></tr><tr><td>否定</td><td> 支持[しじ]しない</td><td>不支持</td></tr><tr><td>過去</td><td> 支持[しじ]した</td><td>支持了</td></tr><tr><td>過去否定</td><td> 支持[しじ]しなかった</td><td>沒支持過</td></tr><tr><td><b>て形</b></td><td><b> 支持[しじ]して</b></td><td><b>支持（後） (本句使用 支持している 表示狀態)</b></td></tr><tr><td>意向形</td><td> 支持[しじ]しよう</td><td>支持吧</td></tr></tbody></table>,夫[おっと]廣 自民党[じみんとう]を 支持[しじ]している のに対して、妻[つま]は 民主党[みんしゅとう]を 支持[しじ]している。,老公支持自民黨，老婆卻支持民主黨。<br><br>🧾 單字速記：<br><ul><li><b> 夫[おっと]</b>：丈夫</li><li><b> 妻[つま]</b>：妻子</li><li><b> 支持[しじ]する</b>：支持</li><li><b> 政党[せいとう]</b>：政黨</li></ul>,常見於家庭、政治、性格、偏好等相對立的情況。<br><br>📝 語感補充：<br><ul><li><b>對稱性</b>：在「のに対して」的前後，通常會使用結構相似的句子來加強對比感（例如本句皆使用「〜を支持している」）。</li><li><b>使用場景</b>：討論社會議題、民意調查結果或描述不同人群的行為差異。</li></ul>,❌ 誤認為因果關係句（實為對照）
名詞＋に対して,表示針對某人或某事採取行動／態度／感情。<br><br>🧠 文法解析：<br><ul><li><div><b> あの 事件[じけん]に</b></div><ul><li><div><b> あの</b>：連體詞，「那個」。</div></li><li><div><b> 事件[じけん]</b>：名詞，「事件」。</div></li></ul></li><li><div><b> 對[たい]して、</b></div><ul><li><div><b>に 對[たい]して</b>：格助詞與動詞中止形的組合，表示對象。</div></li></ul></li><li><div><b> 関心[かんしん]を</b></div><ul><li><div><b> 関心[かんしん]</b>：名詞，「興趣、關心」。</div></li></ul></li><li><div><b> 持[も]っています。</b></div><ul><li><div><b> 持[も]つ</b>：動詞，「持有」。</div></li><li><div><b>〜ている</b>：表示狀態持續。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  持[も]つ」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 持[も]つ</td><td>持有、拿</td></tr><tr><td>否定</td><td> 持[も]たない</td><td>不持有</td></tr><tr><td>過去</td><td> 持[も]った</td><td>持有了</td></tr><tr><td>過去否定</td><td> 持[も]たなかった</td><td>沒持有過</td></tr><tr><td><b>て形</b></td><td><b> 持[も]って</b></td><td><b>持有（後） (本句使用 持っています 表示狀態)</b></td></tr><tr><td>意向形</td><td> 持[も]とう</td><td>持有吧</td></tr></table>,あの事件[じけん]に対して、関心[かんしん]を 持[も]っています。,我對於那個事件感到有興趣。<br><br>🧾 單字速記：<br><ul><li><b> 事件[じけん]</b>：事件</li><li><b> 関心[かんしん]</b>：興趣、關心</li><li><b> 持[も]つ</b>：持有</li></ul>,用來表示「針對對象有某種情緒、評價、態度」。<br><br>📝 語感補充：<br><ul><li><b>相似文法對比</b><ul><li><b>〜に 對[たい]して</b>：表示將動作、態度、感情指向某對象。</li><li><b>〜について</b>：僅表示「關於」該內容，不一定帶有強烈的動作指向性。</li></ul></li><li><b>使用場景</b>：表示對人、對問題、對社會現象的態度或反應。</li></ul>,❌ 與「〜關於」混淆：「針對對象」更正式、更具動作性。
名詞＋に対して,表示「針對對象進行動作」。<br><br>🧠 文法解析：<br><ul><li><div><b> 質問[しつもん]に</b></div><ul><li><div><b> 質問[しつもん]</b>：名詞，「提問、問題」。</div></li></ul></li><li><div><b> 對[たい]して、</b></div><ul><li><div><b>に 對[たい]して</b>：表示動作指向的對象。</div></li></ul></li><li><div><b> 詳[くわ]しく</b></div><ul><li><div><b> 詳[くわ]しい</b>：い形容詞，「詳細的」。</div></li><li><div><b>く</b>：副詞化，修飾動詞。</div></li></ul></li><li><div><b> 答[こた]えて ください。</b></div><ul><li><div><b> 答[こた]える</b>：動詞，「回答」。</div></li><li><div><b>〜て ください</b>：表示禮貌的請求。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  答[こた]える」為例 → <b>下一段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 答[こた]える</td><td>回答</td></tr><tr><td>否定</td><td> 答[こた]えない</td><td>不回答</td></tr><tr><td>過去</td><td> 答[こた]えた</td><td>回答了</td></tr><tr><td>過去否定</td><td> 答[こた]えなかった</td><td>沒回答過</td></tr><tr><td><b>て形</b></td><td><b> 答[こた]えて</b></td><td><b>回答（後）</b></td></tr><tr><td>意向形</td><td> 答[こた]えよう</td><td>回答吧</td></tr></table>,質問[しつもん]に対して、詳[くわ]しく 答[こた]えてください。,請針對問題詳細回答。<br><br>🧾 單字速記：<br><ul><li><b> 質問[しつもん]</b>：問題</li><li><b> 詳[くわ]しい</b>：詳細的</li><li><b> 答[こた]える</b>：回答</li></ul>,常與「答える」「意見を言う」「反応する」等動詞搭配。<br><br>📝 語感補充：<br><ul><li><b>動作指向性</b>：這裡的「に対して」強調的是「答える」這個動作的明確目標是那個「質問」。</li><li><b>使用場景</b>：在課堂、會議、公務處理等需要針對特定內容作回應的場合。</li></ul>,❌ 「に」誤用為「を」：× 質問を答える（應為「に」）
名詞＋に対して,表示給予對象某種待遇或支援。<br><br>🧠 文法解析：<br><ul><li><div><b> この 大学[だいがく]では、</b></div><ul><li><div><b> 大学[だいがく]</b>：名詞，「大學」。</div></li><li><div><b>では</b>：表示動作發生的場所範圍。</div></li></ul></li><li><div><b> 海外[かいがい]の</b></div><ul><li><div><b> 海外[かいがい]</b>：名詞，「海外」。</div></li></ul></li><li><div><b> 協定校[きょうていこう]に</b></div><ul><li><div><b> 協定校[きょうていこう]</b>：名詞，「姊妹校、協定校」。</div></li><li><div><b>に</b>：表示移動的目的地。</div></li></ul></li><li><div><b> 交換留学[こうかんりゅうがく]する 人[ひと]に</b></div><ul><li><div><b> 交換留学[こうかんりゅうがく]</b>：名詞，「交換留學」。</div></li><li><div><b>する</b>：動詞。</div></li><li><div><b> 人[ひと]</b>：名詞，「人」。</div></li></ul></li><li><div><b> 對[たい]して、</b></div><ul><li><div><b>に 對[たい]して</b>：表示接受待遇或行為的對象。</div></li></ul></li><li><div><b> 航空運賃[こうくううんちん]を</b></div><ul><li><div><b> 航空運賃[こうくううんちん]</b>：名詞，「機票費、航空運費」。</div></li><li><div><b>を</b>：格助詞。</div></li></ul></li><li><div><b> 支給[しきゅう]している。</b></div><ul><li><div><b> 支給[しきゅう]する</b>：動詞，「支付、發給」。</div></li></ul></li>li></ul></ul><br><br>📘 動詞補充（以「  支給[しきゅう]する」為例 → <b>サ變動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 支給[しきゅう]する</td><td>發給</td></tr><tr><td>否定</td><td> 支給[しきゅう]しない</td><td>不發給</td></tr><tr><td>過去</td><td> 支給[しきゅう]した</td><td>發給了</td></tr><tr><td>過去否定</td><td> 支給[しきゅう]しなかった</td><td>沒發給過</td></tr><tr><td><b>て形</b></td><td><b> 支給[しきゅう]して</b></td><td><b>發給（後）</b></td></tr><tr><td>意向形</td><td> 支給[しきゅう]しよう</td><td>發給吧</td></tr></table>,この大学[だいがく]では、海外[かいがい]の 協定校[きょうていこう]に 交換留学[こうかんりゅうがく]する人に対して、航空運賃[こうくううんちん]を 支給[しきゅう]している。,這間大學會支付要去國外合作學校交換的學生的機票費。<br><br>🧾 單字速記：<br><ul><li><b> 交換留学[こうかんりゅうがく]</b>：交換留學</li><li><b> 航空運賃[こうくううんちん]</b>：機票費</li><li><b> 支給[しきゅう]する</b>：發給、支付</li></ul>,搭配「支給する」「援助する」「説明する」等表示待遇的動詞。<br><br>📝 語感補充：<br><ul><li><b>福利與政策</b>：在法律、規定、合約中，常用來明確定義誰是該項政策或款項的受益者。</li><li><b>使用場景</b>：公文公告、獎學金說明、補助款申領規定。</li></ul>,❌ 重複助詞：「〜にに対して」是錯誤的用法
～に対する（＋名詞）,修飾名詞，表示對象或主題。<br><br>🧠 文法解析：<br><ul><li><div><b> 被害者[ひがいしゃ]に</b></div><ul><li><div><b> 被害者[ひがいしゃ]</b>：名詞，「被害者、受害者」。</div></li></ul></li><li><div><b> 對[たい]する</b></div><ul><li><div><b>に 對[たい]する</b>：與「針對對象」同源，但用於修飾後面的名詞。</div></li></ul></li><li><div><b> 補償[ほしょう] 問題[もんだい]を</b></div><ul><li><div><b> 補償[ほしょう]</b>：名詞，「補償」。</div></li><li><div><b> 問題[もんだい]</b>：名詞，「問題」。</div></li></ul></li><li><div><b> 検討[けんとう]する。</b></div><ul><li><div><b> 検討[けんとう]する</b>：動詞，「討論、檢討、研究」。</div></li></ul></ul><br><br>📘 動詞補充（以「  検討[けんとう]する」為例 → <b>サ變動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 検討[けんとう]する</td><td>討論</td></tr><tr><td>否定</td><td> 検討[けんとう]しない</td><td>不討論</td></tr><tr><td>過去</td><td> 検討[けんとう]した</td><td>討論了</td></tr><tr><td>過去否定</td><td> 検討[けんとう]しなかった</td><td>沒討論過</td></tr><tr><td>て形</td><td> 検討[けんとう]して</td><td>討論（後）</td></tr><tr><td>意向形</td><td> 検討[けんとう]しよう</td><td>討論吧</td></tr></table>,被害者[ひがいしゃ]に 対[たい]する 補償[ほしょう]問題[もんだい]を 検討[けんとう]する。,檢討對於被害者的補償問題。<br><br>🧾 單字速記：<br><ul><li><b> 被害者[ひがいしゃ]</b>：被害者</li><li><b> 補償[ほしょう]</b>：補償</li><li><b> 検討[けんとう]する</b>：討論、檢討</li></ul>,「～に対する＋名詞」固定搭配，類似「關於～的...」。<br><br>📝 語感補充：<br><ul><li><b>名詞修飾語</b>：將對象（被害者）與核心主題（補償問題）緊密結合。</li><li><b>使用場景</b>：常用於法律、新聞、社會評論等正式文書。</li></ul>,❌ 和「～について」混淆（語氣不同）
～に対する（＋名詞）,表示被針對的對象。<br><br>🧠 文法解析：<br><ul><li><div><b> 高速[こうそく] 道路[どうろ] 建設[けんせつ]に</b></div><ul><li><div><b> 高速[こうそく] 道路[どうろ]</b>：名詞，「高速公路」。</div></li><li><div><b> 建設[けんせつ]</b>：名詞，「建設」。</div></li></ul></li><li><div><b> 對[たい]する</b></div><ul><li><div><b>に 對[たい]する</b>：修飾後方的「反対運動」。</div></li></ul></li><li><div><b> 地域[ちいき] 住民[じゅうみん]の</b></div><ul><li><div><b> 地域[ちいき]</b>：名詞，「地區」。</div></li><li><div><b> 住民[じゅうみん]</b>：名詞，「居民」。</div></li></ul></li><li><div><b> 反對[はんたい] 運動[うんどう]は</b></div><ul><li><div><b> 反對[はんたい]</b>：名詞，「反對」。</div></li><li><div><b> 運動[うんどう]</b>：名詞，「運動」。</div></li></ul></li><li><div><b> ますます</b></div><ul><li><div><b> ますます</b>：副詞，「越來越...」。</div></li></ul></li><li><div><b> 激化[げきか]している。</b></div><ul><li><div><b> 激化[げきか]する</b>：動詞，「激烈化」。</div></li></ul></ul><br><br>📘 動詞補充（以「  激化[げきか]する」為例 → <b>サ變動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 激化[げきか]する</td><td>激烈化</td></tr><tr><td>否定</td><td> 激化[げきか]しない</td><td>不激烈化</td></tr><tr><td>過去</td><td> 激化[げきか]した</td><td>激烈化了</td></tr><tr><td>過去否定</td><td> 激化[げきか]しなかった</td><td>沒激烈化過</td></tr><tr><td><b>て形</b></td><td><b> 激化[げきか]して</b></td><td><b>激烈化（後）</b></td></tr><tr><td>意向形</td><td> 激化[げきか]しよう</td><td>激烈化吧</td></tr></table>,高速[こうそく]道路[どうろ]建設[けんせつ]に 対[たい]する 地域[ちいき]住民[じゅうみん]の 反對[はんたい]運動[うんどう]は ますます 激化[げきか]している。,地方居民對高速公路建設的反對運動越來越激烈。<br><br>🧾 單字速記：<br><ul><li><b> 建設[けんせつ]</b>：建設</li><li><b> 住民[じゅうみん]</b>：居民</li><li><b> 反對[はんたい]</b>：反對</li><li><b> 激化[げきか]する</b>：激烈化</li></ul>,較正式、書面語氣。<br><br>📝 語感補充：<br><ul><li><b>正式度</b>：這個用法比起口語，更多見於新聞標題或深度報導，用來精準定位矛盾或行動的焦點。</li><li><b>使用場景</b>：政治抗爭、社會運動、政策爭議。</li></ul>,❌ 動作主體省略時不明確
～に対しての（＋名詞）,與「に対する」意思相同，但語氣較口語、自然。<br><br>🧠 文法解析：<br><ul><li><div><b> 子供[こども]に</b></div><ul><li><div><b> 子供[こども]</b>：名詞，「孩子」。</div></li></ul></li><li><div><b> 對[たい]しての</b></div><ul><li><div><b>に 對[たい]して</b>：針對對象。</div></li><li><div><b>の</b>：助詞，用於連結名詞「愛情」。</div></li></ul></li><li><div><b> 愛情[あいじょう]は</b></div><ul><li><div><b> 愛情[あいじょう]</b>：名詞，「愛情」。</div></li><li><div><b>は</b>：提示助詞。</div></li></ul></li><li><div><b> 尽[つ]きることがない。</b></div><ul><li><div><b> 尽[つ]きる</b>：動詞，「用盡、枯竭」。</div></li><li><div><b>こと</b>：名詞化。</div></li><li><div><b>ない</b>：沒有。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  尽[つ]きる」為例 → <b>上一段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 尽[つ]きる</td><td>用盡</td></tr><tr><td>否定</td><td> 尽[つ]きない</td><td>不用盡</td></tr><tr><td>過去</td><td> 尽[つ]きた</td><td>用盡了</td></tr><tr><td>過去否定</td><td> 盡[つ]きなかった</td><td>沒用盡過</td></tr><tr><td>て形</td><td> 盡[つ]きて</td><td>用盡（後）</td></tr><tr><td>意向形</td><td> 盡[つ]きよう</td><td>用盡吧</td></tr></tbody></table>,子供[こども]に 対[たい]しての 愛情[あいじょう]は 尽[つ]きることがない。,對孩子的愛是無止盡的。<br><br>🧾 單字速記：<br><ul><li><b> 子供[こども]</b>：孩子</li><li><b> 愛情[あいじょう]</b>：愛情</li><li><b> 盡[つ]きる</b>：用盡、枯竭</li></ul>,「に対しての＋名詞」語氣較柔和。<br><br>📝 語感補充：<br><ul><li><b>相似文法對比</b><ul><li><b>〜に対する</b>：標準的書面體修飾。</li><li><b>〜に対しての</b>：語感較為親切、生活化，常用於抒發情感。</li></ul></li><li><b>使用場景</b>：親子關係描述、個人感言、散文寫作。</li></ul>,❌ 和「～にとっての」混淆
～に対しては（＋副助詞）,強調針對對象的情況或措施。<br><br>🧠 文法解析：<br><ul><li><div><b> 輸入[ゆにゅう] 品[ひん]に</b></div><ul><li><div><b> 輸入[ゆにゅう]</b>：名詞，「輸入、進口」。</div></li><li><div><b> 品[ひん]</b>：名詞，「物品」。</div></li></ul></li><li><div><b> 對[たい]しては、</b></div><ul><li><div><b>に 對[たい]して</b>：針對對象。</div></li><li><div><b>は</b>：強調助詞，用來對比或加強語氣。</div></li></ul></li><li><div><b> 関稅[かんぜい]が</b></div><ul><li><div><b> 関稅[かんぜい]</b>：名詞，「關稅」。</div></li><li><div><b>が</b>：格助詞。</div></li></ul></li><li><div><b> かけられている。</b></div><ul><li><div><b> かける</b>：動詞，「課徵、加上」。</div></li><li><div><b>受身形</b>：かけられる（被課徵）。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  かける」為例 → <b>下一段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> かける</td><td>掛上、課徵</td></tr><tr><td>否定</td><td> かけない</td><td>不掛上</td></tr><tr><td>過去</td><td> かけた</td><td>掛上了</td></tr><tr><td>過去否定</td><td> かけなかった</td><td>沒掛過</td></tr><tr><td>て形</td><td> かけて</td><td>掛上（後）</td></tr><tr><td><b>受身形</b></td><td><b> かけられる</b></td><td><b>被掛上</b></td></tr></tbody></table>,輸入[ゆにゅう]品[ひん]に 対[たい]しては、関税[かんぜい]が かけられている。,對於進口品會課徵關稅。<br><br>🧾 單字速記：<br><ul><li><b> 輸入[ゆにゅう] 品[ひん]</b>：進口品</li><li><b> 関稅[かんぜい]</b>：關稅</li><li><b> かける</b>：課徵、掛上</li></ul>,常用於對策、規定。可對比「～には」。<br><br>📝 語感補充：<br><ul><li><b>強調與對比</b>：使用「は」隱含了「如果是進口品的話就要課稅（但國內品可能不用）」的對比語氣。</li><li><b>使用場景</b>：法條說明、經濟政策、稅務規定。</li></ul>,❌ 跟主題助詞「は」重複誤用：× に対してはは
～に対しても（＋副助詞）,表示不僅 A，也對 B 同樣成立（遞進）。<br><br>🧠 文法解析：<br><ul><li><div><b> 陳[ちん]さんは</b></div><ul><li><div><b> 陳[ちん]さん</b>：名詞。</div></li></ul></li><li><div><b> 日本[にほん]の アニメだけでなく、</b></div><ul><li><div><b> アニメ</b>：動畫。</div></li><li><div><b>〜だけでなく</b>：表示「不只...」。</div></li></ul></li><li><div><b> 日本[にほん]の ドラマに</b></div><ul><li><div><b> ドラマ</b>：電視劇。</div></li></ul></li><li><div><b> 對[たい]しても</b></div><ul><li><div><b>に 對[たい]して</b>：針對。</div></li><li><div><b>も</b>：也。</div></li></ul></li><li><div><b> 興味[きょうみ]を 持[も]っている。</b></div><ul><li><div><b> 興味[きょうみ]</b>：興趣。</div></li><li><div><b> 持[も]つ</b>：持有。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  持[も]つ」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 持[も]つ</td><td>持有</td></tr><tr><td>否定</td><td> 持[も]たない</td><td>不持有</td></tr><tr><td>過去</td><td> 持[も]った</td><td>持有了</td></tr><tr><td>過去否定</td><td> 持[も]たなかった</td><td>沒持有過</td></tr><tr><td>て形</td><td> 持[も]って</td><td>持有（後）</td></tr><tr><td>意向形</td><td> 持[も]とう</td><td>持有吧</td></tr></tbody></table>,陳[ちん]さんは 日本[にほん]の アニメだけでなく、日本の ドラマに 対[たい]しても 興味[きょうみ]を 持[も]っている。,陳先生不只對動畫有興趣，也對日劇有興趣。<br><br>🧾 單字速記：<br><ul><li><b> アニメ</b>：動畫</li><li><b> ドラマ</b>：劇集</li><li><b> 興味[きょうみ]</b>：興趣</li><li><b> 持[も]つ</b>：持有</li></ul>,「～だけでなく～に対しても」是常見遞進句型。<br><br>📝 語感補充：<br><ul><li><b>遞進強調</b>：使用「に対しても」比單純用「も」更正式，且明確指出「對象」。</li><li><b>使用場景</b>：個人興趣介紹、市場調查分析、能力評估。</li></ul>,❌ 與「～も」重複：× に対してもも
